"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22511","test_baidu_search[\u8f6f\u4ef6\u6d4b\u8bd5]","tests","2026-08-23","passed","2026-08-23","","test_baidu_search","",""
"","14603","test_baidu_search[pytest]","tests","2026-08-23","passed","2026-08-23","","test_baidu_search","",""
"","18648","test_baidu_search[\u6d4b\u8bd5\u5f00\u53d1]","tests","2026-08-23","passed","2026-08-23","","test_baidu_search","",""
